id,relativeReadability,lexicalDiversity,topTopicSimilarity,syllableRate,PRP$,VBG,VBD,VBN,VBP,WDT,JJ,WP,VBZ,DT,NN,TO,PRP,RB,NNS,NNP,VB,WRB,CC,CD,EX,IN,WP$,MD,JJS,JJR,``,'',,topic-0,topic-1,topic-2,topic-3,topic-4,topic-5,topic-6,topic-7,topic-8,topic-9,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25,topic-26,topic-27,topic-28,topic-29,heat
-1BnXEwHUok-0,1.152210680937438,0.5288888888888889,0.13333333333333333,2.892,0.009,0.027,0.031,0.022,0.058,0,0.067,0.004,0.013,0.098,0.116,0.036,0.08,0.04,0.04,0.102,0.049,0,0.036,0.009,0,0.12,0,0.018,0.004,0,0.004,0.004,0,0.44881723848644,5,5,5,5,5,5,5,0.21371465676651977,5,5,5,5,5,5,0.30417584929734265,5,5,5,5,5,5,5,5,5,5,5,0.37581159616068704,5,5,0.1
-1BnXEwHUok-90,0.9886177156813102,0.46875,0.1,2.225,0,0.021,0.005,0.01,0.047,0.01,0.052,0.01,0.057,0.12,0.167,0.036,0.089,0.094,0.021,0.005,0.042,0.005,0.052,0.016,0,0.104,0,0.021,0,0,0,0,0.01,5,5,5,5,5,5,5,5,5,0.8867018577669955,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.8906386170236836,0.5473436022180099,5,0.356
-1BnXEwHUok-180,1.0016178790824077,0.4873096446700508,0.16666666666666666,2.375,0.01,0.015,0.03,0.01,0.041,0.005,0.066,0.005,0.046,0.096,0.127,0.041,0.071,0.076,0.041,0.02,0.056,0.01,0.041,0.015,0,0.127,0,0.02,0.01,0.005,0,0,0.01,5,5,5,0.5352895003697711,5,5,5,5,5,0.8935695056497714,5,5,5,5,5,5,5,5,5,5,0.8639346782613043,5,5,5,5,5,5,0.4239943009424238,0.8653124360793608,5,0.796
-1BnXEwHUok-270,1.0720042864730441,0.46017699115044247,0.1,2.625,0,0.004,0.044,0,0.035,0.009,0.071,0.009,0.049,0.115,0.088,0.013,0.111,0.088,0.053,0.071,0.062,0.013,0.031,0.013,0,0.071,0,0.022,0,0,0.004,0.004,0,0.7658266593287589,0.8625373434759949,5,5,5,5,5,0.6091386743171291,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.456
-1BnXEwHUok-360,0.9122153126884381,0.4860335195530726,0.12,2.133,0,0.017,0.006,0.006,0.061,0,0.056,0.028,0.061,0.095,0.123,0.011,0.089,0.123,0.028,0.011,0.045,0,0.061,0.039,0.006,0.084,0,0.017,0,0,0,0,0.017,5,5,5,5,5,5,5,5,5,5,5,5,0.424039330441431,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.5793922050609855,0.44362186538129383,5,0.1
-1BnXEwHUok-450,0.9676055286253562,0.48258706467661694,0.2,2.383,0,0.025,0.025,0.02,0.065,0.01,0.05,0.02,0.06,0.119,0.109,0.025,0.129,0.055,0.02,0.02,0.06,0.01,0.03,0.03,0.005,0.08,0,0.03,0,0,0,0,0,0.5638344078672313,5,0.9270205709450735,5,5,5,5,0.5693632997168777,5,0.563490171615596,5,5,5,5,5,5,5,5,5,5,5,5,0.4343273726221086,5,0.5555410349966359,5,5,5,5,5,0.147
-1BnXEwHUok-540,0.886493920816944,0.5,0.1724137931034483,2.3,0.005,0.025,0.01,0.01,0.045,0.005,0.071,0.01,0.066,0.111,0.136,0.015,0.126,0.061,0.02,0.02,0.056,0.01,0.045,0.01,0,0.101,0,0.025,0,0,0,0,0.005,5,5,0.5744723731709945,5,5,5,5,5,5,0.5744723731709945,5,5,5,0.3323793466514369,5,5,5,5,5,5,5,5,5,0.8871817087386327,5,5,5,5,5,0.9189748231314984,0.144
-1BnXEwHUok-630,0.9485652672283925,0.4425287356321839,0.4,1.867,0.006,0.029,0,0.006,0.069,0.023,0.046,0.011,0.034,0.092,0.08,0.011,0.098,0.052,0.04,0.029,0.052,0.023,0.04,0.086,0,0.115,0,0.029,0.006,0,0,0,0,5,0.4449115123372585,0.571547747719049,0.8934019961668931,5,5,5,5,5,0.921157925802349,0.5782740203722678,5,5,5,0.5773750569472988,5,0.5727255119046207,5,0.5481903951732419,5,5,5,5,5,5,5,5,5,5,5,0.225
-1BnXEwHUok-720,1.0493900055933334,0.5213270142180095,0.1724137931034483,2.3,0,0.009,0.024,0,0.038,0,0.076,0,0.033,0.095,0.09,0.019,0.071,0.081,0.043,0.014,0.028,0.014,0.033,0.123,0,0.137,0,0.014,0,0,0,0,0.005,5,0.42876796358162445,0.37595075290321733,5,5,5,5,5,5,5,5,5,5,5,0.9212929653157912,5,0.43557516725123363,5,5,5,5,5,5,5,5,5,5,5,0.9251454400840687,5,0.509
-1BnXEwHUok-810,1.0403957812981441,0.4752475247524752,0.23333333333333334,2.433,0,0.04,0.01,0,0.04,0.01,0.045,0.005,0.074,0.139,0.149,0.045,0.059,0.054,0.025,0.025,0.04,0.005,0.025,0.054,0.01,0.119,0,0.005,0,0,0,0,0.015,5,0.33265186845730643,0.5310168886395816,5,5,5,5,5,5,5,0.3666949756600717,5,5,5,5,5,0.5373416229431034,5,5,5,5,5,5,0.5216319099190163,5,5,5,5,0.8989833221412427,0.8911602315713893,0.482
